,#,participant_id,fluid intelligence
95,96,sub-195445,520.69
96,97,sub-198451,518.73
97,98,sub-198855,456.84
98,99,sub-200210,522.99
99,100,sub-200311,496.77
100,101,sub-200513,533.83
101,102,sub-201111,483.63
102,103,sub-201818,481.09
103,104,sub-202719,565.4100000000001
104,105,sub-204016,507.82
105,106,sub-204218,497.04
106,107,sub-204521,479.78000000000003
107,108,sub-204622,465.16999999999996
108,109,sub-206525,569.92
109,110,sub-206828,617.19
110,111,sub-209127,576.96
111,112,sub-209228,502.48
112,113,sub-210011,537.13
113,114,sub-210415,484.17
114,115,sub-211316,470.46999999999997
115,116,sub-211720,448.65999999999997
116,117,sub-211821,492.46
117,118,sub-212015,547.16
118,119,sub-212823,473.79999999999995
119,120,sub-214019,551.52
120,121,sub-219231,466.1
121,122,sub-223929,577.91
122,123,sub-227432,498.26
123,124,sub-233326,566.29
124,125,sub-236130,577.52
125,126,sub-250932,518.19
126,127,sub-251833,555.87
127,128,sub-255639,531.56
128,129,sub-255740,536.28
129,130,sub-257845,526.4
130,131,sub-257946,506.59999999999997
131,132,sub-268850,488.09000000000003
132,133,sub-281135,458.51
133,134,sub-290136,597.94
134,135,sub-293748,550.0699999999999
135,136,sub-299760,482.13
136,137,sub-300618,535.46
137,138,sub-304020,568.29
138,139,sub-304727,512.28
139,140,sub-305830,494.03
140,141,sub-318637,455.15
141,142,sub-333330,478.84999999999997
142,143,sub-334635,445.1
143,144,sub-342129,567.1
144,145,sub-348545,574.9399999999999
145,146,sub-350330,571.92
146,147,sub-352738,565.03
147,148,sub-358144,590.25
148,149,sub-362034,430.54
149,150,sub-366446,463.16
150,151,sub-376247,546.77
151,152,sub-377451,496.61999999999995
152,153,sub-378857,501.31999999999994
153,154,sub-381038,519.75
154,155,sub-387959,526.22
155,156,sub-391748,599.48
156,157,sub-401422,613.09
157,158,sub-406432,531.9
158,159,sub-406836,529.78
159,160,sub-453441,561.0699999999999
160,161,sub-454140,475.84
161,162,sub-459453,495.52
162,163,sub-480141,524.74
163,164,sub-499566,564.75
164,165,sub-513736,559.84
165,166,sub-531536,481.86
166,167,sub-541943,490.09
167,168,sub-548250,548.4300000000001
168,169,sub-555348,416.08
169,170,sub-555954,538.54
170,171,sub-557857,526.78
171,172,sub-558960,511.92
172,173,sub-567961,465.9
173,174,sub-568963,545.1700000000001
174,175,sub-569965,542.71
175,176,sub-571144,605.62
176,177,sub-571548,392.18
177,178,sub-573451,561.95
178,179,sub-578057,477.4
179,180,sub-587664,498.34
180,181,sub-609143,559.24
181,182,sub-617748,514.24
182,183,sub-635245,533.04
183,184,sub-638049,513.0899999999999
184,185,sub-645551,471.74
185,186,sub-656253,503.73
186,187,sub-656657,469.65999999999997
187,188,sub-657659,518.84
188,189,sub-663755,504.11
189,190,sub-664757,505.77000000000004
190,191,sub-671855,550.5
191,192,sub-679568,587.47
192,193,sub-680957,563.5
193,194,sub-683256,528.1800000000001
194,195,sub-687163,544.3900000000001
195,196,sub-694362,491.6700000000001
196,197,sub-698168,487.51
197,198,sub-702133,527.8399999999999
198,199,sub-705341,558.73
199,200,sub-713239,576.25
200,201,sub-731140,584.79
201,202,sub-732243,545.79
202,203,sub-735148,604.37
203,204,sub-744553,500.96999999999997
204,205,sub-748662,520.88
205,206,sub-749361,468.1
206,207,sub-751550,454.24
207,208,sub-753150,544.0
208,209,sub-765056,517.51
209,210,sub-774663,543.5699999999999
210,211,sub-792766,488.56
211,212,sub-809252,536.55
212,213,sub-826353,552.12
213,214,sub-826454,515.58
214,215,sub-833249,509.78000000000003
215,216,sub-837964,541.3600000000001
216,217,sub-845458,509.15000000000003
217,218,sub-859671,489.75
218,219,sub-872158,540.83
219,220,sub-877168,515.3900000000001
220,221,sub-878877,448.21999999999997
221,222,sub-884064,486.12
222,223,sub-885975,476.39
223,224,sub-891667,433.63
224,225,sub-894774,553.35
225,226,sub-896778,560.99
226,227,sub-896879,535.3299999999999
227,228,sub-901139,557.24
228,229,sub-908860,535.62
229,230,sub-911849,513.49
230,231,sub-922854,551.0799999999999
231,232,sub-932554,505.43
232,233,sub-933253,608.9
233,234,sub-937160,517.0999999999999
234,235,sub-952863,525.9000000000001
235,236,sub-955465,525.6700000000001
236,237,sub-957974,507.02
237,238,sub-978578,508.2
238,239,sub-983773,532.96
239,240,sub-987074,574.56
240,241,sub-987983,501.42999999999995
